chain,metric,k,test_acc,test_auc
cem,LOF,1,0.8798383695459926,0.9539250753800611
cem,LOF,2,0.8804233956000599,0.9528016567731667
cem,LOF,3,0.8722466361001892,0.9507023943717057
cem,LOF,4,0.8723690834138311,0.9498341522177484
cem,LOF,5,0.8656072706493789,0.9460051636512177
cem,LOF,6,0.8717976626168351,0.9462412596067212
cem,LOF,7,0.8718928994163345,0.9453469738505791
cem,LOF,8,0.8657977442483775,0.943013495991102
cem,LOF,9,0.873675188092679,0.9433455387588341
cem,LOF,10,0.8689405586318554,0.9411908616020601
cem,LOF,11,0.8642195344281031,0.9375221241257368
cem,LOF,12,0.8664644018448728,0.9357131661838749
cem,LOF,13,0.8659882178473762,0.9331651133690222
cem,LOF,14,0.8607501938749132,0.9341146469989254
cem,LOF,15,0.8555393804165929,0.9368468564062871
cem,LOF,16,0.8536890654548918,0.9334335373051502
cem,LOF,17,0.853988381110461,0.9342859234716595
cem,LOF,18,0.86041006244813,0.9343233362995691
cem,LOF,19,0.8570223534373682,0.9340019515509479
cem,LOF,20,0.8558659065863049,0.9327899053998882
cem,LOF,21,0.8587910368566414,0.931853696533895
cem,LOF,22,0.8562468537843022,0.9310555367916478
cem,LOF,23,0.8566278009822995,0.932617899800374
cem,LOF,24,0.8579339056611475,0.9317221826709212
cem,LOF,25,0.8524101712901865,0.9306520967199778
cem,LOF,26,0.8448592536155971,0.931033833229822
cem,LOF,27,0.8432402280241085,0.9305515108246093
cem,LOF,28,0.8422062284866872,0.9300321138346329
cem,LOF,29,0.8380838355940735,0.9255324316711887
cem,LOF,30,0.8391586509027088,0.9262934429079843
cem,LOF,31,0.8381110461082162,0.9245722131419245
cem,LOF,32,0.8392130719309941,0.9272245635666616
cem,LOF,33,0.8389545720466388,0.928442970256869
cem,LOF,34,0.8391586509027088,0.9280363885559845
cem,LOF,35,0.8395668086148488,0.9258815008372526
cem,LOF,36,0.8391314403885661,0.9283099477398661
cem,LOF,37,0.8433490700806792,0.928430075576959
cem,LOF,38,0.845512305955021,0.9286496961792546
cem,LOF,39,0.8438796751064611,0.9273889015748734
cem,LOF,40,0.8475803050298636,0.9264154042021269
cem,LOF,41,0.8440973592196025,0.9264135125045356
cem,LOF,42,0.8441517802478877,0.9246810535140528
cem,LOF,43,0.8440701487054598,0.9236655535107152
cem,LOF,44,0.8498251724466334,0.9230784160508065
cem,LOF,45,0.8441925960191018,0.9226729554803474
cem,LOF,46,0.859308036625352,0.9220105387604021
cem,LOF,47,0.8507367246704126,0.9200879064814599
cem,LOF,48,0.8446007537312418,0.9204709052430421
cem,LOF,49,0.8475258840015782,0.9205896565873345
cem,LOF,50,0.8606141413042,0.9205384026707142
cem,LOF,51,0.8586685895429994,0.9199443603465958
cem,LOF,52,0.8531992762003238,0.9180493732847321
cem,LOF,53,0.8605052992476293,0.9189350237605729
cem,LOF,54,0.8583828791445014,0.9191528837064961
cem,LOF,55,0.8582196160596455,0.9170134442914213
cem,LOF,56,0.8588590631419981,0.9166912385751657
cem,LOF,57,0.8561788274989456,0.9152125269043301
cem,LOF,58,0.8614984830138366,0.9150788077408488
cem,LOF,59,0.8567366430388702,0.9135555375756551
cem,LOF,60,0.8567638535530129,0.9131713157626995
cem,LOF,61,0.8590767472551394,0.913065371737505
cem,LOF,62,0.8571311954939389,0.9107210499371876
cem,LOF,63,0.8592808261112094,0.9106125175679233
cem,LOF,64,0.8579747214323614,0.911907712172197
cem,LOF,65,0.8616889566128352,0.911478105297197
cem,LOF,66,0.8557706697868056,0.9099996971491837
cem,LOF,67,0.8616073250704072,0.9099817747425198
cem,LOF,68,0.8603556414198447,0.9097072221093999
cem,LOF,69,0.8631447191194678,0.908569089925681
cem,LOF,70,0.8564645378974436,0.9040310462855057
cem,LOF,71,0.8614168514714086,0.9039476211897188
cem,LOF,72,0.8619202459830478,0.9029046641310527
cem,LOF,73,0.8601923783349886,0.9018511498542127
cem,LOF,74,0.8635528768316078,0.9010417015269908
cem,LOF,75,0.8623692194664018,0.899612191913695
cem,LOF,76,0.8596209575379927,0.8980298311190056
cem,LOF,77,0.8591039577692821,0.8963959576852897
cem,LOF,78,0.8499612250173467,0.8945462963249187
cem,LOF,79,0.8599882994789186,0.8952686604823276
cem,LOF,80,0.8413899130624073,0.8899602792786291
cem,LOF,81,0.8399613610699174,0.8908479513732694
cem,LOF,82,0.8489408307369968,0.8907174152793882
cem,LOF,83,0.8497299356471341,0.8898584176913978
cem,LOF,84,0.8588318526278554,0.8936235567041786
cem,LOF,85,0.8436075699650345,0.889892458167947
cem,LOF,86,0.83998857158406,0.8890638083821671
cem,LOF,87,0.8226418688181113,0.8865699035908474
cem,LOF,88,0.8203289751159848,0.883881067706825
cem,LOF,89,0.8280839716466443,0.8849229394753988
cem,LOF,90,0.8387640984476402,0.8852183724626892
cem,LOF,91,0.841335492034122,0.8862154303745301
cem,LOF,92,0.8253357097182351,0.8857111680852942
cem,LOF,93,0.8392674929592795,0.8835111002664237
cem,LOF,94,0.8258527094869458,0.8854061052484539
cem,LOF,95,0.827458129821363,0.88251759614763
cem,LOF,96,0.8436211752221058,0.8857345393426282
cem,LOF,97,0.8438660698493898,0.888104774823922
cem,LOF,98,0.8289955238704235,0.8837988163819533
cem,LOF,99,0.833022679963538,0.8853136338285437
cem,GOF,1,0.8514714085522646,0.9393967549983041
cem,GOF,2,0.8469000421762969,0.9347446976578925
cem,GOF,3,0.8496755146188487,0.9297345573075952
cem,GOF,4,0.8519748030639039,0.9271751498271533
cem,GOF,5,0.8469680684616536,0.9223725653269595
cem,GOF,6,0.8474986734874356,0.9222445100561479
cem,GOF,7,0.8520428293492606,0.9218259688840499
cem,GOF,8,0.8546278281928137,0.9207987020512901
cem,GOF,9,0.8541516441953171,0.9223782213795562
