chain,metric,max_features,test_acc,test_auc,sensitivity,specificity
cem,LOF,10,0.878872396293928,0.9524765591900192,0.8988175422840892,0.8768781801855732
cem,LOF,20,0.8798383695459926,0.9539250753800612,0.9095943720999852,0.8768632146064053
cem,LOF,30,0.8806818954844152,0.954111482073494,0.9077982337973356,0.8779706674648309
cem,LOF,40,0.8810356321682699,0.954187546460832,0.9121389013620717,0.8779257707273271
cem,LOF,50,0.8803553693147032,0.9540233473339113,0.910941475826972,0.8772972164022748
cem,GOF,10,0.851076856097196,0.9373347665434612,0.8714264331686873,0.8490422029332535
cem,GOF,20,0.8514714085522646,0.939396754998304,0.8684328693309384,0.8497755163124813
cem,GOF,30,0.8522605134624018,0.9397559434584694,0.8699296512498129,0.8504938641125411
cem,GOF,40,0.8526958816886845,0.9389030544072836,0.8646909145337525,0.8514965579167914
cem,GOF,50,0.8523693555189725,0.9395447576546104,0.8715761113605748,0.8504489673750374
cem,standard,10,0.8868042611665148,0.9685990609563876,0.9392306540936984,0.8815624064651302
cem,standard,20,0.8878518659610073,0.9694459534718106,0.9389312977099236,0.8827446872193954
cem,standard,30,0.888572944585788,0.9693097131648848,0.9381829067504864,0.8836126908111344
cem,standard,40,0.888736207670644,0.9695270086255586,0.9392306540936984,0.8836875187069739
cem,standard,50,0.888246418416076,0.9691130527761004,0.938033228558599,0.8832684824902723
ce,LOF,5,0.9141795139079388,0.9700337561356168,0.9250150875075438,0.9130959565479784
ce,LOF,15,0.9108328304164152,0.9725690401431502,0.9215449607724804,0.9097616173808089
ce,LOF,25,0.9098864322159432,0.9722779067899794,0.921997585998793,0.9086753168376585
ce,LOF,35,0.9101470346189718,0.9716089449616464,0.9213940856970428,0.9090223295111648
ce,LOF,45,0.9087480111921874,0.9716839625166946,0.9188292094146048,0.9077398913699456
ce,GOF,5,0.8864047841114829,0.956782178366572,0.912492456246228,0.8837960168980085
ce,GOF,15,0.8904784111482965,0.9619438905883456,0.914453832226916,0.8880808690404345
ce,GOF,25,0.8908487408789159,0.9617907414603978,0.9114363307181652,0.8887899818949909
ce,GOF,35,0.8908075931310693,0.961591575206809,0.9114363307181652,0.8887447193723597
ce,GOF,45,0.8924397871289844,0.9610242582901164,0.909625829812915,0.8907211828605914
ce,standard,5,0.9081033631425908,0.9805595883250188,0.9396499698249848,0.9049487024743512
ce,standard,15,0.9080073517309486,0.9808341408989276,0.9378394689197344,0.90502414001207
ce,standard,25,0.9071569649421188,0.980531949140258,0.9387447193723596,0.9039981894990948
ce,standard,35,0.9068414988752947,0.9801979969034644,0.9361798430899216,0.9039076644538322
ce,standard,45,0.9068552147912438,0.9801224102662068,0.9361798430899216,0.903922751961376
